child_id,episode_number,start_date,end_date,placed_with_relative_this_rem_ep,county_of_initial_removal,n_contacts_in_rem_ep,n_visits_in_rem_ep
10000021289,1,2009-07-23,2012-07-05,f,Allen,0,47
10000021301,1,2005-04-18,2010-03-04,f,Lake,0,17
10000021418,1,2009-03-18,2009-03-26,f,Scott,0,3
10000021418,2,2010-03-30,2010-07-21,f,Scott,0,2
10000021528,1,2009-05-19,2010-08-05,f,Clay,0,7
10000021645,1,2008-08-01,2010-08-26,f,Marion,0,31
10000021780,1,2007-12-03,2008-09-25,f,Cass,0,0
10000021780,2,2008-10-01,2012-01-26,f,Fulton,0,21
10000021800,1,2010-05-06,2011-08-02,t,Delaware,0,19
10000021822,1,2005-07-12,2009-04-30,t,St. Joseph,0,0
10000021890,1,2010-04-09,2010-04-12,t,Floyd,0,0
10000021992,1,2007-05-07,,,Lake,,
10000022030,1,2010-08-02,2011-12-19,t,Morgan,0,0
10000022059,1,2008-08-16,2009-09-18,t,Tippecanoe,0,34
10000022073,1,2009-06-11,2010-11-01,f,Lake,0,0
10000022133,1,2004-07-07,2008-04-30,f,Wabash,0,34
10000022133,2,2008-10-09,2010-06-30,f,Howard,0,3
10000022190,1,2007-12-21,2008-07-01,t,Out of State,0,6
10000022202,1,2007-02-23,2011-01-11,t,Lake,0,0
10000022223,1,2006-12-13,,,Lake,,
10000022340,1,2009-10-06,2010-02-03,t,Fayette,0,4
10000022351,1,2001-09-24,2010-02-15,f,Ripley,0,0
10000022354,1,2007-08-08,2009-05-21,f,Warrick,0,0
10000022387,1,2012-04-04,,,Central Office,,
10000022472,1,2006-08-28,2010-11-19,f,Allen,0,12
10000022606,1,2005-02-19,2009-06-03,f,Owen,0,0
10000022617,1,2009-07-02,,,Porter,,
10000022809,1,2003-08-15,,,Lake,,
10000022820,1,2005-10-06,2008-06-18,f,Lake,0,4
10000022926,1,2007-10-03,2009-02-09,t,Allen,0,0
10000022926,2,2010-04-26,2011-04-11,t,Allen,0,2
10000022942,1,2006-08-15,2008-01-24,t,White,0,10
10000022972,1,2006-08-02,,,St. Joseph,,
10000023021,1,2003-10-20,2010-04-27,t,Wayne,0,6
10000023022,1,2007-09-30,2009-08-27,t,Elkhart,0,26
10000023180,1,2008-08-06,,,Noble,,
10000023191,1,2008-07-10,2008-07-25,f,Jennings,0,0
10000023191,2,2008-07-25,2010-03-15,t,Jennings,0,1
10000023199,1,2010-07-27,2011-06-21,t,Jasper,0,0
10000023298,1,1998-10-06,,,Lake,,
10000023367,1,2002-11-04,2008-07-16,f,Marshall,0,0
10000023406,1,2006-10-24,2009-02-09,f,Elkhart,0,5
10000023406,2,2009-08-31,2012-03-07,f,Wabash,0,3
10000023413,1,2008-10-06,2009-02-12,f,Henry,0,0
10000023450,1,2006-08-15,2008-01-24,t,White,0,27
10000023462,1,2003-03-05,2010-06-28,f,Out of State,0,12
10000023492,1,2004-07-20,,,Marion,,
10000023568,1,2006-07-07,2009-04-20,t,Wabash,0,9
10000023629,1,2007-07-11,2009-02-27,f,LaPorte,0,1
10000023651,1,2009-03-03,2010-01-13,t,Lake,0,0
10000023876,1,2009-07-12,2009-07-14,f,Floyd,0,0
10000023876,2,2011-03-07,2011-03-09,t,Floyd,0,0
10000023901,1,2003-12-04,2008-09-19,t,Lake,0,4
10000023908,1,2008-03-20,2009-08-27,f,Tippecanoe,0,18
10000023908,2,2009-12-23,2011-11-30,t,Wabash,0,10
10000023969,1,2008-02-21,2010-01-12,f,Perry,0,8
10000024082,1,2008-01-20,2008-09-22,f,St. Joseph,0,22
10000024105,1,2010-12-08,2010-12-10,t,Delaware,0,0
10000024125,1,2006-08-15,2008-01-24,t,White,0,29
10000024146,1,2007-10-29,2008-10-15,f,Delaware,0,0
10000024216,1,2011-04-14,2011-12-16,t,Newton,0,11
10000024246,1,2004-10-16,2009-10-07,t,Marion,0,8
10000024249,1,2011-07-22,2011-07-25,t,Floyd,0,0
10000024384,1,2003-12-04,2008-09-19,t,Lake,0,46
10000024423,1,2007-05-31,2011-11-23,f,Lake,0,3
10000024453,1,2011-12-20,,,Delaware,,
10000024462,1,2008-02-21,2010-01-12,f,Perry,0,26
10000024491,1,2010-04-23,,,Lake,,
10000024591,1,2008-03-16,2008-03-18,t,Floyd,0,0
10000024701,1,2003-08-13,2008-01-03,t,Marion,0,15
10000024725,1,2009-03-10,2009-08-13,f,Marion,0,1
10000024725,2,2012-02-10,,,Marion,,
10000024864,1,2003-12-04,2008-09-19,t,Lake,0,46
10000024920,1,2005-07-08,,,Jasper,,
10000024941,1,2008-10-10,2009-01-20,f,Warrick,0,4
10000025058,1,2009-03-06,2011-07-13,f,Brown,0,11
10000025067,1,2008-10-20,2010-07-03,t,Boone,0,0
10000025138,1,2006-06-01,,,Lake,,
10000025203,1,2006-12-07,2010-08-31,f,Lake,0,0
10000025342,1,2008-06-05,2011-11-30,t,Vanderburgh,0,12
10000025388,1,2008-01-20,2008-09-22,f,St. Joseph,0,4
10000025431,1,2012-02-13,2012-04-02,t,St. Joseph,0,1
10000025436,1,2010-12-10,2010-12-14,f,Marion,0,0
10000025450,1,2007-10-01,2010-04-01,f,Howard,0,3
10000025548,1,2011-05-17,2011-05-19,f,Ohio,0,2
10000025548,2,2011-05-26,,,Ohio,,
10000025630,1,1994-10-14,2008-07-07,t,Lake,0,21
10000025688,1,2008-04-27,2008-04-29,f,Vanderburgh,0,1
10000025688,2,2009-09-15,2011-03-02,f,Vanderburgh,0,12
10000025736,1,2007-10-19,,,Clark,,
10000025788,1,2010-03-15,,,Kosciusko,,
10000025798,1,2005-03-31,2008-06-26,f,Jasper,0,14
10000025968,1,2007-05-30,2009-05-12,f,Delaware,0,0
10000025988,1,2010-08-25,2011-05-28,f,Randolph,0,6
10000025988,2,2011-05-29,2011-06-01,f,Randolph,0,0
10000026044,1,2008-10-27,2008-11-21,f,Wayne,0,3
10000026155,1,2008-04-27,2008-04-29,f,Vanderburgh,0,1
10000026155,2,2009-09-15,2010-10-14,f,Vanderburgh,0,21
10000026318,1,2008-12-16,2009-01-23,f,Marion,0,1
10000026318,2,2009-08-19,2010-08-24,t,Marion,0,3
10000026362,1,2007-05-04,2008-07-15,f,Vigo,0,2
10000026362,2,2008-10-23,2008-10-27,t,Putnam,0,1
10000026378,1,2011-02-09,,,Wayne,,
10000026393,1,2007-12-14,2008-08-04,t,Delaware,0,4
10000026417,1,2007-12-05,2008-07-14,t,Greene,0,5
10000026417,2,2010-03-02,2010-10-26,t,Monroe,0,12
10000026476,1,2010-01-25,2010-06-06,f,Harrison,0,1
10000026489,1,2008-07-15,2009-07-01,f,Putnam,0,1
10000026532,1,2011-05-15,2011-05-17,f,Allen,0,0
10000026678,1,2008-10-27,2008-11-21,f,Wayne,0,3
10000026725,1,2010-05-24,2011-09-07,f,Marion,0,0
10000026829,1,2005-01-18,2008-02-04,f,Elkhart,0,4
10000026829,2,2008-04-02,2010-11-12,t,Elkhart,0,11
10000026857,1,2009-10-27,2010-09-21,t,Jackson,0,0
10000026867,1,2007-11-21,2008-01-08,f,Delaware,0,0
10000026893,1,2004-06-18,,,Scott,,
10000026985,1,2008-12-16,2009-01-16,f,Marion,0,1
10000026985,2,2009-08-19,2010-08-24,t,Marion,0,3
10000027008,1,2008-07-15,2009-07-01,f,Putnam,0,20
10000027107,1,2009-01-07,2009-05-23,f,Elkhart,0,5
10000027210,1,2008-10-06,,,Marion,,
10000027268,1,2009-04-29,2011-03-28,f,Lake,0,0
10000027386,1,2007-10-01,2008-08-29,t,Montgomery,0,2
10000027397,1,2011-05-16,2011-06-02,f,Clark,0,1
10000027406,1,2009-10-17,2010-08-17,f,Lake,0,0
10000027411,1,1999-01-31,2009-07-22,f,Lake,0,1
10000027442,1,2007-08-20,2008-09-13,f,Vigo,0,27
10000027445,1,2010-03-19,,,Putnam,,
10000027585,1,2005-08-17,2009-12-28,f,St. Joseph,0,0
10000027616,1,2007-03-06,,,Lake,,
10000027642,1,2008-12-16,2009-01-16,f,Marion,0,1
10000027642,2,2009-08-19,2010-08-24,t,Marion,0,9
10000027718,1,2010-06-30,2011-02-09,t,,0,12
10000027776,1,2007-03-11,2008-02-04,t,Morgan,0,1
10000027788,1,2008-02-14,2008-03-05,t,Huntington,0,0
10000027836,1,2007-04-25,2010-06-04,t,Wabash,0,14
10000027872,1,2012-03-05,,,Floyd,,
10000027890,1,2007-10-01,2008-08-29,t,Montgomery,0,15
10000027903,1,2007-08-20,2009-02-20,f,Tippecanoe,0,12
10000027903,2,2010-06-09,2011-06-11,f,Putnam,0,2
10000027996,1,2011-08-22,,,Fountain,,
10000028047,1,2012-06-19,2012-06-21,f,Elkhart,0,1
10000028047,2,2012-07-20,,,Marshall,,
10000028237,1,2007-10-16,2009-08-07,t,Hamilton,0,13
10000028237,2,2010-06-25,2012-06-13,f,Delaware,0,27
10000028263,1,2008-10-21,2010-01-28,f,Ripley,0,2
10000028330,1,2008-04-13,2008-12-08,t,Gibson,0,2
10000028381,1,2010-06-18,2012-06-06,t,Knox,0,0
10000028556,1,2011-08-22,,,Fountain,,
10000028564,1,2001-07-19,2009-03-25,f,Lake,0,0
10000028630,1,2006-04-11,,,Delaware,,
10000028781,1,2007-06-06,2009-04-20,t,Howard,0,6
10000028804,1,2006-10-02,2008-03-10,f,St. Joseph,0,0
10000028804,2,2009-05-22,2009-05-27,f,Allen,0,0
10000028895,1,2006-08-04,2008-07-15,f,Lake,0,3
10000028901,1,2009-11-18,,,Delaware,,
10000029078,1,2008-02-24,2008-11-25,t,Cass,0,5
10000029091,1,2009-06-02,2009-12-03,f,Elkhart,0,6
10000029122,1,2010-05-05,2010-11-17,t,Floyd,0,0
10000029149,1,2008-03-06,2008-04-18,f,Fayette,0,4
10000029149,2,2010-02-01,2010-09-08,t,Marion,0,0
10000029266,1,2008-01-07,2008-05-27,t,Pike,0,2
10000029292,1,2008-12-11,2009-07-21,t,Jefferson,0,2
10000029315,1,2008-01-18,2009-01-26,f,Howard,0,0
10000029315,2,2009-09-23,2010-10-13,t,Central Office,0,0
10000029362,1,2007-10-18,2010-06-07,f,Putnam,0,48
10000029395,1,2010-04-21,2010-04-28,t,Bartholomew,0,0
10000029552,1,2007-11-27,2008-05-27,t,Marion,0,3
10000029557,1,2005-08-31,2008-06-30,f,Randolph,0,3
10000029557,2,2008-07-01,2008-08-04,f,Henry,0,0
10000029557,3,2008-08-04,,,Delaware,,
10000029655,1,2008-10-21,2010-01-28,f,Ripley,0,9
10000029735,1,2008-09-11,2008-10-08,f,Tippecanoe,0,1
10000029800,1,2011-09-30,,,Grant,,
10000029816,1,2007-12-12,2008-05-28,t,Pike,0,5
10000029905,2,2008-08-19,2010-12-20,f,DeKalb,0,12
10000030057,1,2007-11-27,2008-05-27,t,Marion,0,10
10000030120,1,2009-08-22,2010-01-08,t,Monroe,0,0
10000030176,1,2011-08-16,2012-01-06,f,Howard,0,0
10000030298,1,2010-04-29,2010-12-15,f,Bartholomew,0,0
10000030414,1,2005-03-05,2011-02-25,f,Lake,0,1
10000030607,1,2007-07-23,2009-07-02,f,Grant,0,8
10000030637,1,2007-06-01,2008-01-18,f,Jefferson,0,1
10000030637,2,2008-05-21,2010-04-16,f,Clark,0,2
10000030728,1,2007-01-09,2008-02-04,f,Dearborn,0,4
10000030728,2,2010-03-19,2010-10-27,t,Ripley,0,15
10000030729,1,2006-07-13,2009-05-07,f,Porter,0,7
10000030837,1,2005-07-25,2008-08-01,t,Union,0,13
10000030857,1,2009-03-16,2009-07-06,t,Bartholomew,0,0
10000030892,1,2003-04-02,2012-04-04,f,Steuben,0,7
10000030917,1,2011-12-13,2012-05-15,t,Elkhart,0,0
10000030917,2,2012-05-15,,,Elkhart,,
10000030919,1,2004-02-05,,,Lake,,
10000030950,1,2012-01-17,,,Delaware,,
10000030963,1,2008-05-23,2008-09-02,f,Harrison,0,9
10000031000,1,2008-05-08,2009-12-09,f,Jackson,0,6
10000031019,1,2007-09-30,2009-09-03,t,Brown,0,1
10000031059,1,2006-01-25,2010-08-12,f,Marshall,0,3
10000031062,1,2001-03-20,2010-04-12,t,Rush,0,49
10000031075,1,2006-06-25,2008-12-09,f,Grant,0,5
10000031082,1,2009-02-22,,,Vanderburgh,,
10000031110,2,2010-03-19,,,Ripley,,
10000031114,1,2004-06-14,2008-12-02,t,Jackson,0,23
10000031270,1,2011-11-18,2012-03-16,f,Noble,0,4
10000031297,1,2006-07-13,2009-05-07,f,Porter,0,33
10000031356,1,2007-09-11,2008-03-10,t,Monroe,0,5
